Domain,GeneratedName,SourceRoots,LCS,JaroWinkler,Levenshtein,IsDictionaryWord,Brandability,Pronounceability
health,Cahlic,"chalcis",0.14,0.86,4,false,80,100
health,Helxasn,"heal",0.29,0.82,4,false,80,100
health,Idetis,"diet",0.33,0.81,4,false,80,100
health,Ehalut,"healthful",0.22,0.78,6,false,80,100
health,Galxesn,"aegle",0.14,0.71,6,false,80,100
health,Hasuta,"ahs",0.17,0.72,5,false,80,100
health,Cobar,"cobra",0.60,0.95,2,false,80,100
health,Cnostur,"constructivism",0.14,0.76,10,false,80,100
health,Heltah,"healthy",0.29,0.90,3,false,80,100
health,Cnostit,"constitutional",0.29,0.81,9,false,80,100
health,Uceris,"cure",0.17,0.72,4,false,80,100
health,Helfaln,"healful",0.29,0.86,3,false,80,100
health,Xrecsen,"exercise",0.25,0.73,5,false,80,100
health,Hasxisn,"ahs",0.14,0.70,5,false,80,100
health,Hoetis,"hot",0.33,0.87,3,false,80,100
health,Ralit,"ariel",0.20,0.62,4,false,80,100
health,Densit,"deinstitutionalization",0.09,0.74,16,false,80,100
health,Galet,"aegle",0.40,0.73,4,false,80,100
health,Conid,"condition",0.33,0.85,5,false,80,100
health,Helafu,"healful",0.29,0.92,3,false,80,100
health,Ofuram,"formulary",0.11,0.72,6,false,80,100
health,Hsaxis,"ahs",0.33,0.67,4,false,80,100
health,Cobara,"cobra",0.50,0.91,1,false,80,100
health,Rables,"arbela",0.17,0.76,5,false,80,100
health,Cahlics,"chalcis",0.14,0.91,4,false,80,100
health,Hygnis,"hygiene",0.43,0.85,4,false,80,100
health,Ocinid,"condition",0.11,0.75,6,false,80,100
health,Helaf,"healful",0.29,0.87,4,false,80,100
health,Ageles,"aegle",0.33,0.89,3,false,80,100
health,Lnattan,"alaunt",0.14,0.58,6,false,80,100
health,Racadi,"arcadian",0.50,0.86,4,false,80,100
health,Ebelim,"belemnite",0.33,0.72,6,false,80,100
health,Cnodtin,"condition",0.22,0.85,4,false,80,100
health,Boolim,"blooming",0.25,0.82,4,false,80,100
health,Laanut,"alaunt",0.33,0.89,3,false,80,100
health,Raacid,"arcadian",0.13,0.75,5,false,80,100
health,Blemen,"belemnite",0.33,0.80,5,false,80,100
health,Cacera,"accrease",0.25,0.81,5,false,80,100
health,Acrebud,"accrease, disbud",0.43,0.75,4,false,80,100
health,Dawul,"dwalm",0.20,0.80,3,false,80,100
health,Coinus,"constitutional",0.14,0.76,10,false,80,100
